"","Address","Number","Street","Number.of.People","Bathrooms","Beds.Average","Full.Beds","Quiet","Fire.Code.Capacity","Minutes.to.Fountain","Minutes.to.Olin","Minutes.to.Gym","Reserve","ADA.Compliance","New","Duplex","Link","X"
"141","63A Home Avenue","63A","Home Avenue",4,1.5,2,4,"YES",20,8,4,8,"NO","NO","NO","YES","<a href='http://wesleyan.edu/reslife/housing/woodframe/63_home.htm' target='_blank'>http://wesleyan.edu/reslife/housing/woodframe/63_home.htm</a>",NA
"142","49 Home Avenue","49","Home Avenue",4,1.5,1.75,3,"YES",16,9,5,9,"NO","NO","NO","NO","<a href='http://wesleyan.edu/reslife/housing/woodframe/49_home.htm' target='_blank'>http://wesleyan.edu/reslife/housing/woodframe/49_home.htm</a>",NA
"143","85 Home Avenue","85","Home Avenue",4,1.5,2,4,"YES",19,7,3,7,"NO","NO","NO","NO","<a href='http://wesleyan.edu/reslife/housing/woodframe/85_home.htm' target='_blank'>http://wesleyan.edu/reslife/housing/woodframe/85_home.htm</a>",NA
"144","43B Home Avenue","43B","Home Avenue",4,1,2,4,"YES",18,8,5,9,"NO","NO","NO","YES","<a href='http://wesleyan.edu/reslife/housing/woodframe/43_home.htm' target='_blank'>http://wesleyan.edu/reslife/housing/woodframe/43_home.htm</a>",NA
"145","63B Home Avenue","63B","Home Avenue",4,1.5,2,4,"YES",20,8,4,8,"NO","NO","NO","YES","<a href='http://wesleyan.edu/reslife/housing/woodframe/63_home.htm' target='_blank'>http://wesleyan.edu/reslife/housing/woodframe/63_home.htm</a>",NA
"146","22 Lawn Avenue","22","Lawn Avenue",4,2.5,1.75,3,"YES",21,7,3,8,"NO","NO","NO","NO","<a href='http://wesleyan.edu/reslife/housing/woodframe/22_lawn.htm' target='_blank'>http://wesleyan.edu/reslife/housing/woodframe/22_lawn.htm</a>",NA
"147","82 Lawn Avenue","82","Lawn Avenue",4,2,2,4,"YES",28,5,3,6,"NO","NO","NO","NO","<a href='http://wesleyan.edu/reslife/housing/woodframe/82_lawn.htm' target='_blank'>http://wesleyan.edu/reslife/housing/woodframe/82_lawn.htm</a>",NA
"148","97 Lawn Avenue","97","Lawn Avenue",4,1,2,4,"YES",18,4,4,5,"NO","NO","NO","NO","<a href='http://wesleyan.edu/reslife/housing/woodframe/97_lawn.htm' target='_blank'>http://wesleyan.edu/reslife/housing/woodframe/97_lawn.htm</a>",NA
"149","27 Brainerd Avenue","27","Brainerd Avenue",5,1.5,2,5,"YES",28,7,5,8,"NO","NO","NO","NO","<a href='http://wesleyan.edu/reslife/housing/woodframe/27_brainerd.htm' target='_blank'>http://wesleyan.edu/reslife/housing/woodframe/27_brainerd.htm</a>",NA
"150","37 Home Avenue","37","Home Avenue",5,1.5,2,5,"YES",23,8,5,9,"NO","NO","NO","NO","<a href='http://wesleyan.edu/reslife/housing/woodframe/37_home.htm' target='_blank'>http://wesleyan.edu/reslife/housing/woodframe/37_home.htm</a>",NA
"151","48 Home Avenue","48","Home Avenue",5,2,2,5,"YES",33,9,5,9,"NO","NO","NO","NO","<a href='http://wesleyan.edu/reslife/housing/woodframe/48_home.htm' target='_blank'>http://wesleyan.edu/reslife/housing/woodframe/48_home.htm</a>",NA
"152","54 Home Avenue","54","Home Avenue",5,1.5,2,5,"YES",16,9,4,9,"NO","NO","NO","NO","<a href='http://wesleyan.edu/reslife/housing/woodframe/54_home.htm' target='_blank'>http://wesleyan.edu/reslife/housing/woodframe/54_home.htm</a>",NA
"153","73 Home Avenue","73","Home Avenue",5,1.5,2,5,"YES",20,8,4,8,"NO","NO","NO","NO","<a href='http://wesleyan.edu/reslife/housing/woodframe/73_home.htm' target='_blank'>http://wesleyan.edu/reslife/housing/woodframe/73_home.htm</a>",NA
"154","77 Home Avenue","77","Home Avenue",5,1.5,2,5,"YES",20,8,3,8,"NO","NO","NO","NO","<a href='http://wesleyan.edu/reslife/housing/woodframe/77_home.htm' target='_blank'>http://wesleyan.edu/reslife/housing/woodframe/77_home.htm</a>",NA
"155","84 Home Avenue","84","Home Avenue",5,1.5,2,5,"YES",26,7,3,7,"NO","NO","NO","NO","<a href='http://wesleyan.edu/reslife/housing/woodframe/84_home.htm' target='_blank'>http://wesleyan.edu/reslife/housing/woodframe/84_home.htm</a>",NA
"156","53A Home Avenue","53A","Home Avenue",5,2,2,5,"YES",8,9,5,9,"NO","NO","NO","YES","<a href='http://wesleyan.edu/reslife/housing/woodframe/53_home.htm' target='_blank'>http://wesleyan.edu/reslife/housing/woodframe/53_home.htm</a>",NA
